CUSIP,SEC_SYM,MF_FAM_DESC,MF_NM,Fund_ID,Brand,Mstar_Cat,US_cat,Is_SMA_or_529,Allowable_List,Is_Master_List_Fund,Real_Share_Class,Broad_Category
O9O2M470N,ZDJZX,JPMORGAN,JPMORGAN Bond Fund S,FSUSABEWRF,JPMorgan,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,Y,Y,International Equity
6NJWU7336,WMCVX,FIDELITY,FIDELITY Blend Fund C,FSC8618389,Fidelity,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,International Equity
LKK88412I,AALFX,FIRST EAGLE,FIRST EAGLE Allocation Fund S,FSCAPWRZNF,First Eagle,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Sector Equity
BJ5YQWAK5,ZQYTX,BLACKROCK,BLACKROCK Bond Fund INST,FSINV0JPYH,BlackRock,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,N,Y,Y,Commodities
PN9A7B726,DQYIX,NUVEEN,NUVEEN Allocation Fund A,FSINV0HJ0U,Nuveen,US Fund Moderate Allocation,US Fund Moderate Allocation,Y,N,Y,Y,US Equity
FLAFLGNFT,BVXDX,T ROWE PRICE,T ROWE PRICE Bond Fund A,FSC9502401,T. Rowe Price,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,N,Y,Y,Fixed Income
MZE9WY5WD,ATVCX,JPMORGAN,JPMORGAN Value Fund A,FSUSA3FIOZ,JPMorgan,US Fund Large Value,US Fund Large Value,N,Y,N,Y,Sector Equity
CPV4H1RZF,UOXPX,DWS FUNDS,DWS FUNDS Growth Fund INST,FSUSAHM19Z,DWS,US Fund Small Growth,US Fund Small Growth,N,N,Y,N,US Equity
NH3PF34HH,VQDIX,T ROWE PRICE,T ROWE PRICE Allocation Fund C,FSC0961209,T. Rowe Price,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,International Equity
MYDL0L89K,YODAX,NUVEEN,NUVEEN Growth Fund S,FSINVEA6AY,Nuveen,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Sector Equity
TWU52IYBH,HVFVX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund A,FSUSAWD8NZ,Franklin Templeton,US Fund Multisector Bond,US Fund Multisector Bond,N,N,Y,Y,Fixed Income
RJAL1TPNS,MVQKX,MFS,MFS Blend Fund C,FSC1501076,MFS,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Sector Equity
M8RT419FG,WOAPX,MFS,MFS Value Fund C,FSINVQLY7I,MFS,US Fund Large Value,US Fund Large Value,N,Y,Y,Y,Fixed Income
ODUX5X64O,NZEQX,LORD ABBETT,LORD ABBETT Blend Fund A,FSINVHMG3O,Lord Abbett,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Sector Equity
YS5FVL5NT,GIYKX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund C,FSINV0DVES,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,N,Y,Allocation
EUTJ0W6M0,GNLOX,BLACKROCK,BLACKROCK Growth Fund INST,FSC1266460,BlackRock,US Fund Large Growth,US Fund Large Growth,N,Y,N,N,Fixed Income
ECDC9YPP0,HIQWX,NUVEEN,NUVEEN Estate Fund INST,FSC1475947,Nuveen,US Fund Real Estate,US Fund Real Estate,Y,Y,Y,N,Allocation
91Z4PE05S,AZCUX,T ROWE PRICE,T ROWE PRICE Bond Fund INST,FSC6570741,T. Rowe Price,US Fund High Yield Bond,US Fund High Yield Bond,N,N,Y,Y,Alternative
9ERM9JVJ0,GVMOX,JPMORGAN,JPMORGAN Blend Fund C,FSUSA8Q72T,JPMorgan,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,N,Y,Y,Sector Equity
LA6SZO61L,LKKDX,T ROWE PRICE,T ROWE PRICE Allocation Fund INST,FSUSACVHF1,T. Rowe Price,US Fund Moderate Allocation,US Fund Moderate Allocation,N,N,N,Y,Alternative
KJUPQVUBQ,DSMHX,LORD ABBETT,LORD ABBETT Growth Fund C,FSCAPUC4WN,Lord Abbett,US Fund Small Growth,US Fund Small Growth,N,N,Y,Y,Commodities
7UYS9W24X,PKEQX,FIDELITY,FIDELITY Bond Fund A,FSCAPZ985P,Fidelity,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,International Equity
ORXB6HXCK,UEDGX,PIMCO,PIMCO Blend Fund S,FSINV6EF38,PIMCO,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,N,Alternative
O3VPK2U4A,PLJRX,JPMORGAN,JPMORGAN Blend Fund S,FSUSA12TEA,JPMorgan,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Sector Equity
JOX505XF3,XIVDX,NUVEEN,NUVEEN Bond Fund A,FSCAPX81HI,Nuveen,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,Y,Y,Allocation
D9N1O5BQW,RKXWX,VANGUARD,VANGUARD Bond Fund C,FSINVOT2R7,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,N,Y,International Equity
FQP2I3X1O,DLRJX,NUVEEN,NUVEEN Blend Fund A,FSCAP05109,Nuveen,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,Y,Y,Y,Y,Commodities
ASZ5G46TZ,IPXMX,NUVEEN,NUVEEN Bond Fund INV,FSCAPHHU2Z,Nuveen,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,Y,Y,Fixed Income
271B5O70A,RQZPX,JPMORGAN,JPMORGAN Bond Fund INST,FSC0768175,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond,N,N,Y,Y,International Equity
ZMQP7RXKZ,HWMLX,T ROWE PRICE,T ROWE PRICE Blend Fund INST,FSCAPNA8P5,T. Rowe Price,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,Y,Y,Y,Y,Alternative
2H1D2OW25,APLHX,PIMCO,PIMCO Bond Fund S,FSINVPWHSS,PIMCO,US Fund High Yield Bond,US Fund High Yield Bond,N,Y,Y,Y,US Equity
V8B71KVAX,MOCTX,INVESCO,INVESCO Bond Fund C,FSC0611133,Invesco,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,N,Y,Alternative
K7JZQA1OX,BTPPX,NUVEEN,NUVEEN Blend Fund INST,FSC2983117,Nuveen,US Fund Small Blend,US Fund Small Blend,N,Y,Y,Y,Alternative
0HY3FFW2G,IDZNX,PIMCO,PIMCO Allocation Fund A,FSINVJSWUM,PIMCO,US Fund Moderate Allocation,US Fund Moderate Allocation,N,N,Y,N,US Equity
BC4PW8ZW7,KFLEX,JPMORGAN,JPMORGAN Bond Fund A,FSINVZI7GY,JPMorgan,US Fund Short-Term Bond,US Fund Short-Term Bond,N,N,N,Y,Fixed Income
RRW24IVSR,ISQQX,PIMCO,PIMCO Growth Fund INST,FSC1319452,PIMCO,US Fund Small Growth,US Fund Small Growth,N,Y,Y,Y,Sector Equity
VY96QZUSO,DPCUX,LORD ABBETT,LORD ABBETT Blend Fund INST,FSC3883216,Lord Abbett,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,Y,Alternative
98NLI8CXU,UBRQX,JPMORGAN,JPMORGAN Growth Fund A,FSCAP5XGST,JPMorgan,US Fund Large Growth,US Fund Large Growth,N,Y,Y,Y,Sector Equity
MBEAABRPX,UJVNX,NUVEEN,NUVEEN Blend Fund A,FSINVVMF3G,Nuveen,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,N,N,Y,Commodities
SX52GWA65,VJPEX,FIRST EAGLE,FIRST EAGLE Estate Fund INST,FSINV2044B,First Eagle,US Fund Real Estate,US Fund Real Estate,N,N,Y,Y,Sector Equity
6YRGC5FJ2,ODRLX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund S,FSC7946771,Franklin Templeton,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,Y,Y,Y,Y,International Equity
2VUXLY81X,EGFHX,T ROWE PRICE,T ROWE PRICE Bond Fund A,FSUSABN9LT,T. Rowe Price,US Fund Multisector Bond,US Fund Multisector Bond,N,Y,N,Y,Fixed Income
XOLXCY6FD,XUYCX,LORD ABBETT,LORD ABBETT Growth Fund INST,FSINVGNUGX,Lord Abbett,US Fund Small Growth,US Fund Small Growth,Y,Y,N,Y,Commodities
P6W30Y28Z,BHHAX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Blend Fund C,FSUSAHK9TD,Franklin Templeton,US Fund Foreign Large Blend,US Fund Foreign Large Blend,N,Y,Y,Y,Fixed Income
444O050VR,ZCBAX,AMERICAN FUNDS,AMERICAN FUNDS Blend Fund INV,FSINVNCDAD,capital group,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Alternative
ZW5448M46,FVAFX,FRANKLIN TEMPLETON,FRANKLIN TEMPLETON Bond Fund S,FSC2078471,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond,N,Y,N,Y,International Equity
UCUXE5R4B,KKBLX,FIRST EAGLE,FIRST EAGLE Allocation Fund A,FSUSAYP2WF,First Eagle,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,Y,Sector Equity
QVYDUKPUW,ROHKX,NUVEEN,NUVEEN Blend Fund A,FSUSA94NKU,Nuveen,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend,N,Y,Y,Y,Fixed Income
SSJHMOTOY,ZLGNX,AMERICAN FUNDS,AMERICAN FUNDS Allocation Fund A,FSC0645745,capital group,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,Y,Alternative
VME942HQF,RBILX,MFS,MFS Allocation Fund A,FSUSAKFW9T,MFS,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,Allocation
O7X33EIC2,BHQRX,MFS,MFS Blend Fund INV,FSCAP05JYR,MFS,US Fund Small Blend,US Fund Small Blend,Y,Y,Y,Y,US Equity
I53CD0ZNU,AHLBX,BLACKROCK,BLACKROCK Allocation Fund INST,FSCAPWE8Z3,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation,N,Y,Y,Y,International Equity
1W6RUD5WC,ZEUNX,FIDELITY,FIDELITY Growth Fund A,FSCAP2CS23,Fidelity,US Fund Small Growth,US Fund Small Growth,N,Y,N,Y,Allocation
8K4PW5ND1,RVHZX,DWS FUNDS,DWS FUNDS Blend Fund S,FSINVY1FX2,DWS,US Fund Large Blend,US Fund Large Blend,N,Y,Y,Y,Fixed Income
YJXRY9LRK,AFFJX,FIDELITY,FIDELITY Allocation Fund C,FSUSACIZJA,Fidelity,US Fund Tactical Allocation,US Fund Tactical Allocation,N,Y,Y,Y,US Equity
YVWQJ8VV4,WYEJX,MFS,MFS Estate Fund C,FSINV3CKFR,MFS,US Fund Real Estate,US Fund Real Estate,N,Y,Y,Y,International Equity
