CUSIP,Ticker,Allowable_List,Rec,ACL,Fund_Legal_Name,Fund_ID,Branding_Name,US_Category_Group,Global_Broad_Category_Group,Morningstar_Category,Share_Class,Inception_Date,Net_Assets_Date,Net_Assets_M,Net_Assets_Currency,Management_Fee,Prospectus_12b1,Shareholder_Fee,Is_SMA_or_529,Is_Master_List_Fund,Real_Share_Class
B8GSW6NQG,TTBX,Y,N,Y,Federated Hermes Large Growth Fund C,FSUSA87ZAS,Federated Hermes,U.S. Equity,U.S. Equity,US Fund Large Growth,C,10/26/2004,03/31/2026,53747.74,USD,0.2909,0.0,0.0844,N,N,Y
NFG76TLUK,DKEX,Y,Y,Y,Columbia Threadneedle Muni National Long Fund Inst,FSUSAMNYLJ,Columbia Threadneedle,Municipal Bond,Municipal Bond,US Fund Muni National Long,Inst,07/13/2012,03/31/2026,70345.49,USD,0.5213,0.0,0.1969,N,Y,Y
WR9TH18HC,UYEX,Y,Y,Y,Goldman Sachs Large Value Fund A,FSUSAN0NWU,Goldman Sachs,U.S. Equity,U.S. Equity,US Fund Large Value,A,08/10/1996,03/31/2026,32971.06,USD,0.5061,0.0,0.0736,N,N,Y
10845GWLM,CGZX,Y,N,Y,Baird Nontraditional Bond Fund Inst,FSUSAT3N5Y,Baird,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,Inst,10/03/2008,03/31/2026,24046.07,USD,0.342,0.25,0.1558,N,Y,Y
6ULFJXY3M,GTPX,Y,Y,Y,T. Rowe Price High Yield Muni Fund Investor,FSUSAEEUYH,T. Rowe Price,Municipal Bond,Municipal Bond,US Fund High Yield Muni,Investor,06/18/1989,03/31/2026,77708.98,USD,0.4776,0.25,0.1363,N,N,N
DN0DJZ2JS,LBGX,Y,Y,Y,Columbia Threadneedle Commodities Broad Basket Fund Inst,FSUSAGQTV9,Columbia Threadneedle,Commodities,Commodities,US Fund Commodities Broad Basket,Inst,10/02/1990,03/31/2026,50849.6,USD,0.8544,0.5,0.1441,N,Y,Y
QB9XNA6JR,AEYX,Y,N,Y,Guggenheim Foreign Large Growth Fund Inst,FSUSAJGGMV,Guggenheim,International Equity,International Equity,US Fund Foreign Large Growth,Inst,01/14/2017,03/31/2026,71871.88,USD,0.4412,0.25,0.0435,N,Y,Y
2GD2YGD2M,GCEX,N,Y,Y,Invesco Moderate Allocation Fund C,FSUSANNG0X,Invesco,Allocation,Allocation,US Fund Moderate Allocation,C,06/30/1995,03/31/2026,22377.78,USD,0.1171,0.0,0.1264,N,Y,Y
UHFMLM44Q,SSGX,Y,Y,Y,Touchstone Investments Global Moderate Allocation Fund I,FSUSA2M17U,Touchstone Investments,Allocation,Allocation,US Fund Global Moderate Allocation,I,12/04/1999,03/31/2026,61501.79,USD,0.418,0.0,0.246,N,Y,Y
YA0GZPYXR,HPVX,N,N,N,BlackRock Foreign Large Blend Fund A,FSUSAZW7FW,BlackRock,International Equity,International Equity,US Fund Foreign Large Blend,A,08/26/1998,03/31/2026,17454.91,USD,0.8377,0.25,0.1273,N,Y,N
322W8189R,NSLX,Y,Y,Y,BNY Mellon Large Growth Fund Inst,FSUSAHQ7L8,BNY Mellon,U.S. Equity,U.S. Equity,US Fund Large Growth,Inst,10/26/1989,03/31/2026,12602.77,USD,0.2879,0.0,0.0721,N,Y,Y
791FYNW49,NZGX,Y,Y,Y,PIMCO Moderate Allocation Fund Inst,FSUSAVZVP4,PIMCO,Allocation,Allocation,US Fund Moderate Allocation,Inst,01/03/2001,03/31/2026,5376.41,USD,0.4177,1.0,0.1447,N,Y,Y
M7MU7U8HL,MLYX,Y,N,Y,Lord Abbett High Yield Muni Fund Retirement,FSUSAW8M90,Lord Abbett,Municipal Bond,Municipal Bond,US Fund High Yield Muni,Retirement,10/06/2011,03/31/2026,77883.54,USD,0.4667,0.25,0.1014,N,Y,Y
5P781DMSW,FBMX,Y,Y,Y,Franklin Templeton Intermediate Core-Plus Bond Fund A,FSUSAEHNUR,Franklin Templeton,Fixed Income,Taxable Bond,US Fund Intermediate Core-Plus Bond,A,08/14/2013,03/31/2026,13429.87,USD,0.3766,0.25,0.0555,N,N,N
8G4091S6B,ZZFX,N,Y,N,AllianceBernstein Multisector Bond Fund Inst,FSUSATZCJP,AllianceBernstein,Fixed Income,Taxable Bond,US Fund Multisector Bond,Inst,07/11/1997,03/31/2026,7669.46,USD,0.2823,0.0,0.1095,N,Y,Y
R1813YLVU,FQTX,Y,Y,Y,John Hancock Small Blend Fund Investor,FSUSAHYQAN,John Hancock,U.S. Equity,U.S. Equity,US Fund Small Blend,Investor,02/19/2015,03/31/2026,48638.12,USD,1.0652,0.0,0.0548,N,Y,Y
H1Y7D7D59,CQJX,N,Y,Y,Franklin Templeton Muni National Long Fund A,FSUSAJCUPF,Franklin Templeton,Municipal Bond,Municipal Bond,US Fund Muni National Long,A,04/21/2001,03/31/2026,12376.87,USD,0.2431,0.0,0.022,N,N,Y
FQ981DCUJ,UEAX,N,N,Y,John Hancock Small Blend Fund A,FSUSAKQK45,John Hancock,U.S. Equity,U.S. Equity,US Fund Small Blend,A,04/03/1989,03/31/2026,80074.64,USD,0.7596,0.25,0.2267,N,Y,Y
27UHBFYVU,QGYX,N,Y,Y,Touchstone Investments Real Estate Fund Inst,FSUSAAXX06,Touchstone Investments,Sector Equity,Sector Equity,US Fund Real Estate,Inst,04/13/2001,03/31/2026,80002.87,USD,0.4693,0.0,0.2033,N,Y,N
TGYA4KNH1,XXPX,Y,N,Y,John Hancock Multisector Bond Fund Inst,FSUSA4DTUM,John Hancock,Fixed Income,Taxable Bond,US Fund Multisector Bond,Inst,04/07/1997,03/31/2026,22603.16,USD,0.5885,0.25,0.1324,N,Y,Y
0FDPM29YM,CAEX,Y,Y,Y,Nuveen Short-Term Bond Fund I,FSUSAFN2HH,Nuveen,Fixed Income,Taxable Bond,US Fund Short-Term Bond,I,10/13/2011,03/31/2026,18999.29,USD,0.2648,0.0,0.1737,N,Y,Y
6DX8D09G0,QKXX,N,Y,N,Touchstone Investments High Yield Muni Fund A,FSUSASPR4Z,Touchstone Investments,Municipal Bond,Municipal Bond,US Fund High Yield Muni,A,09/09/1999,03/31/2026,18171.25,USD,1.1221,0.0,0.0784,N,N,Y
7K5Q5LMER,RZWX,N,Y,Y,Natixis Mid-Cap Growth Fund R6,FSUSAKY0FS,Natixis,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,R6,02/07/2020,03/31/2026,38888.75,USD,1.1042,0.0,0.0283,N,Y,Y
76XLX7RD7,CGHX,Y,Y,Y,John Hancock Mid-Cap Blend Fund C,FSUSACNTQ9,John Hancock,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,C,01/23/2010,03/31/2026,26684.85,USD,0.667,0.0,0.0119,N,N,Y
E7GRJ67ME,WVRX,Y,Y,N,Victory Capital Mid-Cap Growth Fund I,FSUSAJ23NT,Victory Capital,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,I,06/24/2013,03/31/2026,10382.85,USD,0.4796,0.25,0.0851,N,Y,Y
XZRSMG7K9,PGAX,Y,N,Y,Goldman Sachs Intermediate Core Bond Fund R,FSUSAX9Q9N,Goldman Sachs,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,R,06/22/1987,03/31/2026,72703.01,USD,0.205,0.25,0.186,N,N,Y
K345J2MYJ,FWHX,Y,Y,Y,Baird High Yield Muni Fund C,FSUSAJ5U02,Baird,Municipal Bond,Municipal Bond,US Fund High Yield Muni,C,02/14/1998,03/31/2026,58169.06,USD,0.8331,0.25,0.2028,N,Y,Y
M8TAXEQQJ,CUFX,N,N,Y,Eaton Vance Mid-Cap Blend Fund A,FSUSAGL3L4,Eaton Vance,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,A,07/24/1997,03/31/2026,12371.97,USD,1.0081,0.5,0.1675,N,N,Y
3UMQM69AX,NYBX,Y,Y,Y,Baird Multisector Bond Fund R6,FSUSAYLR9N,Baird,Fixed Income,Taxable Bond,US Fund Multisector Bond,R6,07/23/2014,03/31/2026,73050.38,USD,0.9401,0.25,0.0164,N,Y,Y
RS6QPZ73H,WEPX,Y,Y,Y,Lord Abbett Nontraditional Bond Fund Retirement,FSUSAMN9DC,Lord Abbett,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,Retirement,11/05/2007,03/31/2026,21777.07,USD,0.5466,0.0,0.0263,N,Y,N
HBJD9BWKR,UHLX,Y,Y,Y,Touchstone Investments Foreign Large Value Fund R6,FSUSA0RLUR,Touchstone Investments,International Equity,International Equity,US Fund Foreign Large Value,R6,09/25/1989,03/31/2026,54743.72,USD,0.4241,0.5,0.0676,N,N,Y
ZTHVMG4PA,HJUX,Y,Y,Y,BlackRock Intermediate Core Bond Fund A,FSUSAK57WX,BlackRock,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,A,01/19/1989,03/31/2026,59172.31,USD,0.1984,0.0,0.1433,N,Y,N
F18UDDBWS,RJWX,Y,Y,Y,Invesco High Yield Muni Fund A,FSUSATDQL3,Invesco,Municipal Bond,Municipal Bond,US Fund High Yield Muni,A,01/05/2015,03/31/2026,84669.84,USD,0.3085,0.0,0.0049,N,Y,Y
CNLXCXGMR,YLNX,Y,N,Y,Invesco Muni National Long Fund Inst,FSUSAVG2PF,Invesco,Municipal Bond,Municipal Bond,US Fund Muni National Long,Inst,12/02/2018,03/31/2026,77393.91,USD,0.6577,0.5,0.0555,N,Y,Y
HMQJVJW4X,EHWX,N,Y,Y,Goldman Sachs Nontraditional Bond Fund Inst,FSUSAJES7W,Goldman Sachs,Fixed Income,Taxable Bond,US Fund Nontraditional Bond,Inst,08/29/2005,03/31/2026,19810.22,USD,0.6729,1.0,0.0276,N,Y,Y
4DY6XV2G3,PKGX,Y,Y,Y,PIMCO Mid-Cap Blend Fund I,FSUSAZP2PV,PIMCO,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,I,03/25/1999,03/31/2026,11207.89,USD,0.227,0.5,0.0054,N,Y,N
4W17CMY0U,SDZX,N,Y,Y,PIMCO Mid-Cap Growth Fund A,FSUSAVR41B,PIMCO,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,A,12/13/2014,03/31/2026,17729.19,USD,0.7249,1.0,0.1845,N,N,Y
J5K3577YY,DVXX,Y,N,Y,Baird Foreign Large Growth Fund R6,FSUSAWE4AD,Baird,International Equity,International Equity,US Fund Foreign Large Growth,R6,12/27/1987,03/31/2026,3782.78,USD,0.7722,0.5,0.0417,N,Y,Y
HM791CN6D,LECX,Y,N,Y,Invesco Foreign Large Blend Fund C,FSUSANP2Y7,Invesco,International Equity,International Equity,US Fund Foreign Large Blend,C,02/16/1985,03/31/2026,41529.69,USD,0.6453,0.5,0.0764,Y,Y,Y
3HNWLJKNN,PJWX,Y,N,Y,Vanguard Foreign Large Growth Fund C,FSUSAJ6CFJ,Vanguard,International Equity,International Equity,US Fund Foreign Large Growth,C,11/09/1999,03/31/2026,13318.11,USD,0.6846,0.0,0.1529,N,N,Y
NMXZX53P1,GNPX,Y,N,Y,Virtus Large Blend Fund C,FSUSAZ5J1A,Virtus,U.S. Equity,U.S. Equity,US Fund Large Blend,C,04/08/1999,03/31/2026,77550.8,USD,1.0221,0.5,0.0683,N,Y,Y
RF56ZV930,KCZX,Y,Y,N,Federated Hermes Diversified Emerging Mkts Fund I,FSUSAQRUBA,Federated Hermes,International Equity,International Equity,US Fund Diversified Emerging Mkts,I,01/12/2019,03/31/2026,19745.03,USD,0.3829,0.25,0.0085,N,Y,Y
5TYNR8EH7,JAWX,Y,Y,Y,Invesco Small Growth Fund C,FSUSAA9ZK4,Invesco,U.S. Equity,U.S. Equity,US Fund Small Growth,C,09/16/1990,03/31/2026,29355.18,USD,0.2684,0.0,0.0389,N,Y,Y
TPGBT8D80,KEVX,Y,Y,Y,Baird Muni National Interm Fund Retirement,FSUSASZCVD,Baird,Municipal Bond,Municipal Bond,US Fund Muni National Interm,Retirement,12/02/2011,03/31/2026,8941.97,USD,1.1372,1.0,0.1789,N,Y,Y
0Z2L200AK,ZFRX,N,N,Y,AllianceBernstein Small Growth Fund C,FSUSACJMSV,AllianceBernstein,U.S. Equity,U.S. Equity,US Fund Small Growth,C,02/21/1997,03/31/2026,64097.82,USD,0.6302,0.5,0.0175,Y,N,Y
GQWN6J1GG,NPQX,Y,N,Y,Columbia Threadneedle Commodities Broad Basket Fund I,FSUSA865KB,Columbia Threadneedle,Commodities,Commodities,US Fund Commodities Broad Basket,I,09/17/2013,03/31/2026,32602.05,USD,0.2937,0.25,0.0116,N,Y,Y
R6Z07DECK,MGMX,Y,Y,Y,Victory Capital Commodities Broad Basket Fund A,FSUSAU7CVH,Victory Capital,Commodities,Commodities,US Fund Commodities Broad Basket,A,06/04/2015,03/31/2026,43368.45,USD,0.9246,0.5,0.0934,N,N,Y
G8HXXHFZ4,TCQX,Y,Y,Y,John Hancock Muni National Interm Fund A,FSUSAH340W,John Hancock,Municipal Bond,Municipal Bond,US Fund Muni National Interm,A,02/01/2008,03/31/2026,62249.29,USD,0.7998,0.0,0.2159,N,Y,Y
XT326F682,ELXX,N,Y,Y,PIMCO Foreign Large Value Fund A,FSUSA2TM5T,PIMCO,International Equity,International Equity,US Fund Foreign Large Value,A,01/17/2014,03/31/2026,29242.99,USD,1.0467,0.0,0.2329,N,N,Y
L63SU5LBM,BFQX,Y,Y,N,T. Rowe Price Tactical Allocation Fund Inst,FSUSAWUBCS,T. Rowe Price,Allocation,Allocation,US Fund Tactical Allocation,Inst,03/06/2008,03/31/2026,28815.68,USD,0.4356,0.0,0.0728,N,Y,Y
W9ZMQQWP4,GPKX,Y,Y,Y,BNY Mellon Foreign Large Blend Fund I,FSUSA64UQ4,BNY Mellon,International Equity,International Equity,US Fund Foreign Large Blend,I,01/18/1985,03/31/2026,57007.68,USD,0.3356,0.25,0.0227,N,Y,N
S72XLKQ97,HETX,Y,Y,Y,Lord Abbett High Yield Bond Fund I,FSUSANGCEB,Lord Abbett,Fixed Income,Taxable Bond,US Fund High Yield Bond,I,05/10/2004,03/31/2026,39231.09,USD,1.0745,1.0,0.0179,N,N,N
1VP6K9VKN,DAMX,Y,Y,Y,JPMorgan Muni National Long Fund I,FSUSAZWA5K,JPMorgan,Municipal Bond,Municipal Bond,US Fund Muni National Long,I,10/08/2008,03/31/2026,77957.32,USD,1.0181,1.0,0.162,Y,N,Y
88S4WF3FH,CXLX,Y,N,Y,Virtus Diversified Emerging Mkts Fund Inst,FSUSARJGAP,Virtus,International Equity,International Equity,US Fund Diversified Emerging Mkts,Inst,03/08/2003,03/31/2026,24033.13,USD,0.4997,0.0,0.114,N,Y,Y
L6815FW4Z,MMRX,Y,Y,Y,Fidelity Small Blend Fund A,FSUSA6WXMG,Fidelity,U.S. Equity,U.S. Equity,US Fund Small Blend,A,08/07/2003,03/31/2026,925.65,USD,1.1877,0.25,0.2443,N,N,Y
FFY0P45H3,KDUX,N,Y,Y,Touchstone Investments Mid-Cap Blend Fund I,FSUSAUV5DU,Touchstone Investments,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,I,01/11/2016,03/31/2026,71645.15,USD,0.598,0.0,0.2484,N,Y,N
1X6Z2WLUK,TNVX,Y,Y,Y,Vanguard Mid-Cap Blend Fund R6,FSUSAJAHDK,Vanguard,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,R6,02/20/2020,03/31/2026,50243.42,USD,1.1497,0.0,0.0917,N,N,Y
C5CLFLU1S,GJWX,Y,N,Y,PIMCO Mid-Cap Blend Fund I,FSUSAGUS6B,PIMCO,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,I,07/18/2001,03/31/2026,70740.66,USD,0.181,0.25,0.1661,N,N,Y
WVV6Z8L91,XYBX,Y,N,N,BlackRock High Yield Bond Fund Inst,FSUSAQVDY8,BlackRock,Fixed Income,Taxable Bond,US Fund High Yield Bond,Inst,10/17/2011,03/31/2026,77481.04,USD,0.1254,1.0,0.0212,Y,N,Y
9Q9LFK094,BLSX,N,Y,N,Invesco Muni National Long Fund I,FSUSAQ75DZ,Invesco,Municipal Bond,Municipal Bond,US Fund Muni National Long,I,10/12/2006,03/31/2026,49032.64,USD,1.0609,1.0,0.0958,N,Y,Y
XSNZZU3GF,LUGX,Y,Y,N,Invesco Muni National Long Fund Inst,FSUSAKWBFS,Invesco,Municipal Bond,Municipal Bond,US Fund Muni National Long,Inst,08/18/1986,03/31/2026,45639.61,USD,0.7359,0.25,0.01,Y,Y,Y
DLAUBHC2W,NSYX,N,N,Y,Virtus High Yield Bond Fund R,FSUSANRTM8,Virtus,Fixed Income,Taxable Bond,US Fund High Yield Bond,R,11/01/2020,03/31/2026,21443.39,USD,0.1781,0.5,0.0936,N,N,Y
XEB4QE1SP,UPTX,Y,Y,N,Victory Capital Small Blend Fund Inst,FSUSA06JHL,Victory Capital,U.S. Equity,U.S. Equity,US Fund Small Blend,Inst,09/23/2018,03/31/2026,24150.95,USD,1.0807,0.0,0.223,N,Y,Y
VGGA35AFL,SWKX,Y,Y,Y,Vanguard Multisector Bond Fund I,FSUSAFWU77,Vanguard,Fixed Income,Taxable Bond,US Fund Multisector Bond,I,12/01/2002,03/31/2026,65670.24,USD,0.3393,0.0,0.1838,N,N,Y
DQ8MVAQVT,KUJX,Y,Y,Y,Virtus Real Estate Fund C,FSUSAV5VQ8,Virtus,Sector Equity,Sector Equity,US Fund Real Estate,C,09/23/2019,03/31/2026,73120.87,USD,0.2107,0.5,0.2046,N,Y,Y
GYYND6CVK,DNUX,Y,Y,Y,Harbor Foreign Large Growth Fund C,FSUSATEBCW,Harbor,International Equity,International Equity,US Fund Foreign Large Growth,C,01/03/2011,03/31/2026,55259.68,USD,1.179,0.25,0.0854,N,Y,N
H34NQY7XW,BBZX,N,N,Y,Allspring Small Growth Fund Inst,FSUSAUVH1V,Allspring,U.S. Equity,U.S. Equity,US Fund Small Growth,Inst,02/26/2003,03/31/2026,73890.32,USD,0.8097,1.0,0.1839,N,N,Y
S65TGL0W0,XFMX,Y,Y,Y,Baird Large Value Fund A,FSUSAHCNX9,Baird,U.S. Equity,U.S. Equity,US Fund Large Value,A,08/04/2008,03/31/2026,30099.66,USD,0.4133,0.5,0.0034,N,Y,Y
67XQ2EG3Y,CQFX,N,Y,N,BlackRock Real Estate Fund A,FSUSAR1H03,BlackRock,Sector Equity,Sector Equity,US Fund Real Estate,A,04/29/1991,03/31/2026,68524.79,USD,1.0994,0.0,0.0418,N,N,Y
94H1WCHXA,APZX,Y,N,Y,Touchstone Investments Diversified Emerging Mkts Fund A,FSUSABE5JP,Touchstone Investments,International Equity,International Equity,US Fund Diversified Emerging Mkts,A,03/13/2000,03/31/2026,20446.03,USD,1.1227,1.0,0.127,N,Y,Y
VY05DQEBH,XGMX,Y,Y,Y,Invesco Intermediate Core Bond Fund Retirement,FSUSA5SHQR,Invesco,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,Retirement,04/30/1989,03/31/2026,42461.76,USD,0.6977,0.0,0.2475,N,N,Y
EWQYW0TCB,FCGX,N,Y,N,Vanguard Global Moderate Allocation Fund Inst,FSUSAGLRYK,Vanguard,Allocation,Allocation,US Fund Global Moderate Allocation,Inst,02/13/1998,03/31/2026,1997.52,USD,0.1221,0.25,0.1307,N,Y,Y
2VX78CUGR,YUCX,N,N,Y,Harbor Mid-Cap Blend Fund A,FSUSA47LHB,Harbor,U.S. Equity,U.S. Equity,US Fund Mid-Cap Blend,A,09/24/2003,03/31/2026,22412.25,USD,0.8486,0.25,0.1438,N,Y,N
QG2LL60DV,CVXX,Y,Y,N,John Hancock High Yield Muni Fund Retirement,FSUSAXNG4T,John Hancock,Municipal Bond,Municipal Bond,US Fund High Yield Muni,Retirement,05/16/1994,03/31/2026,59058.0,USD,0.1567,0.0,0.1341,N,Y,Y
ACQ3BW02C,MPTX,Y,Y,N,Dodge & Cox Small Blend Fund A,FSUSAUMBMH,Dodge & Cox,U.S. Equity,U.S. Equity,US Fund Small Blend,A,11/03/2009,03/31/2026,11086.33,USD,0.2352,1.0,0.0961,N,Y,Y
5M1DAV2U0,FHHX,Y,Y,Y,Dodge & Cox Intermediate Core Bond Fund Retirement,FSUSA04HZP,Dodge & Cox,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,Retirement,02/05/2009,03/31/2026,11840.52,USD,0.1879,0.0,0.2119,N,N,Y
TP1TNDXDL,EZXX,Y,Y,Y,Invesco Large Value Fund I,FSUSAAUV33,Invesco,U.S. Equity,U.S. Equity,US Fund Large Value,I,01/18/1996,03/31/2026,80504.77,USD,0.4441,0.25,0.0317,N,N,Y
W57RCDZWZ,UCYX,Y,N,Y,Franklin Templeton Large Growth Fund I,FSUSAWCUJM,Franklin Templeton,U.S. Equity,U.S. Equity,US Fund Large Growth,I,04/14/1989,03/31/2026,56578.77,USD,0.1553,0.25,0.2267,N,Y,N
T7Q674JZ9,NLPX,Y,N,N,Allspring Foreign Large Blend Fund Inst,FSUSAR2NLC,Allspring,International Equity,International Equity,US Fund Foreign Large Blend,Inst,10/29/1990,03/31/2026,29689.8,USD,0.49,0.25,0.1645,N,N,N
U9QED54MQ,DVXX,Y,N,Y,First Eagle Intermediate Core Bond Fund A,FSUSAXYTPL,First Eagle,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,A,12/30/1995,03/31/2026,64887.54,USD,0.1978,0.0,0.0423,N,N,Y
F0WQWA7UZ,SFFX,Y,N,N,Russell Investments Mid-Cap Growth Fund A,FSUSAPFDVY,Russell Investments,U.S. Equity,U.S. Equity,US Fund Mid-Cap Growth,A,06/26/2000,03/31/2026,55959.1,USD,0.8357,0.5,0.2298,N,Y,Y
X89A291UZ,DYPX,Y,Y,Y,John Hancock Foreign Large Blend Fund Retirement,FSUSAAPQNN,John Hancock,International Equity,International Equity,US Fund Foreign Large Blend,Retirement,08/04/1997,03/31/2026,41728.36,USD,1.0392,0.25,0.2082,N,Y,Y
QLCNCTSBT,LDSX,Y,N,Y,BNY Mellon Muni National Long Fund Retirement,FSUSAUNEFM,BNY Mellon,Municipal Bond,Municipal Bond,US Fund Muni National Long,Retirement,05/22/2012,03/31/2026,14267.71,USD,0.6541,0.0,0.2048,Y,Y,Y
576CT2WZU,WFDX,Y,Y,Y,Harbor Diversified Emerging Mkts Fund Investor,FSUSA3QGQ6,Harbor,International Equity,International Equity,US Fund Diversified Emerging Mkts,Investor,05/29/2005,03/31/2026,70704.58,USD,0.693,0.0,0.0498,N,Y,Y
CMWVUZE0V,CVXX,N,N,N,Allspring Intermediate Core Bond Fund C,FSUSA3C8L3,Allspring,Fixed Income,Taxable Bond,US Fund Intermediate Core Bond,C,01/15/1999,03/31/2026,45833.85,USD,0.7325,0.0,0.0428,Y,Y,Y
HFN253M1R,TDMX,Y,Y,Y,Guggenheim Intermediate Core-Plus Bond Fund C,FSUSAR1J68,Guggenheim,Fixed Income,Taxable Bond,US Fund Intermediate Core-Plus Bond,C,02/26/2002,03/31/2026,37720.06,USD,0.9185,1.0,0.2187,N,N,Y
KVDFPKCXC,JNSX,Y,Y,Y,Harbor Foreign Large Growth Fund Inst,FSUSA9M8LC,Harbor,International Equity,International Equity,US Fund Foreign Large Growth,Inst,06/06/2002,03/31/2026,81523.91,USD,1.0119,0.25,0.0555,N,Y,Y
G2MW9PRET,NAUX,N,Y,Y,Eaton Vance Diversified Emerging Mkts Fund I,FSUSAKCYEL,Eaton Vance,International Equity,International Equity,US Fund Diversified Emerging Mkts,I,08/01/2020,03/31/2026,22404.23,USD,1.1453,0.5,0.1096,N,Y,Y
PMYHB1T7V,VFQX,Y,Y,Y,Nuveen Foreign Large Value Fund A,FSUSATJ5Q9,Nuveen,International Equity,International Equity,US Fund Foreign Large Value,A,02/27/1994,03/31/2026,18467.75,USD,0.1914,0.0,0.1616,N,Y,Y
LLN5WFUUF,HTUX,Y,Y,Y,Baird Diversified Emerging Mkts Fund Inst,FSUSAWNP6Z,Baird,International Equity,International Equity,US Fund Diversified Emerging Mkts,Inst,02/01/2002,03/31/2026,62966.37,USD,0.987,0.25,0.1797,N,Y,Y
FVV0B7SGV,NSPX,Y,Y,Y,Lord Abbett High Yield Muni Fund C,FSUSAL79RL,Lord Abbett,Municipal Bond,Municipal Bond,US Fund High Yield Muni,C,02/24/1985,03/31/2026,60881.43,USD,1.1644,0.25,0.2412,N,Y,Y
V5FW8Z4JS,KVHX,Y,Y,Y,BlackRock Large Blend Fund Inst,FSUSAJDS0V,BlackRock,U.S. Equity,U.S. Equity,US Fund Large Blend,Inst,06/30/1989,03/31/2026,54937.32,USD,0.2883,0.5,0.224,N,N,Y
TN0RXGF11,SEZX,Y,N,Y,PIMCO Small Growth Fund I,FSUSAMWR9K,PIMCO,U.S. Equity,U.S. Equity,US Fund Small Growth,I,09/05/1998,03/31/2026,63141.04,USD,0.7739,0.0,0.1928,N,Y,Y
QUT6ESJ2J,UVEX,N,Y,Y,Federated Hermes Small Growth Fund A,FSUSAZU4G9,Federated Hermes,U.S. Equity,U.S. Equity,US Fund Small Growth,A,09/27/1986,03/31/2026,43694.77,USD,0.5441,0.0,0.2142,N,N,Y
98SHFCGFN,SDEX,N,N,Y,Columbia Threadneedle Foreign Large Blend Fund A,FSUSALWW86,Columbia Threadneedle,International Equity,International Equity,US Fund Foreign Large Blend,A,02/12/2012,03/31/2026,33573.23,USD,0.1874,0.25,0.0799,N,Y,Y
MHZ6L5G5E,VBHX,N,Y,Y,Guggenheim Large Blend Fund A,FSUSAX389E,Guggenheim,U.S. Equity,U.S. Equity,US Fund Large Blend,A,08/18/2019,03/31/2026,19480.04,USD,0.1046,0.0,0.0694,N,Y,Y
S1YQKKJSV,RCCX,Y,N,Y,Columbia Threadneedle Diversified Emerging Mkts Fund I,FSUSAH0W8G,Columbia Threadneedle,International Equity,International Equity,US Fund Diversified Emerging Mkts,I,11/21/2000,03/31/2026,70605.25,USD,0.4469,0.25,0.1694,N,Y,N
