EOM_DT,MF_NM,MF_CLASS,ASSET_CLASS,CHANNEL,ACCT_TYP,PROGRAM,LEGACY_PROGRAM,RET_ACCT_TYPE,POS_MKT_VAL,POSITION_COUNT,Is_it_a_MF,Rec,ACL,Fund_ID,Brand,Mstar_Cat,US_cat
2025-08-31,NUVEEN Growth Fund S,S,Money Market Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SEP,261099041.05,179,Y,N,Y,FSCAPUT3V8,Nuveen,US Fund Small Growth,US Fund Small Growth
2025-07-31,VANGUARD Growth Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,FC/QC,NON-RETIREMENT,360421360.26,333,Y,Y,Y,FSCAP853QJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-02-28,AMERICAN FUNDS Bond Fund A,A,Equity Fund,WBS,ADVISORY,ADVISORY,CUSTOMCHOICE,IRA,58983937.55,221,Y,Y,Y,FSUSA1CZS7,capital group,US Fund High Yield Bond,US Fund High Yield Bond
2025-11-30,NUVEEN Value Fund INV,INV,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,FUNDSOURCE,QP,421885943.7,475,Y,Y,Y,FSC8073988,Nuveen,US Fund Large Value,US Fund Large Value
2026-02-28,CAPITAL GROUP Bond Fund INST,INST,International Equity Fund,FINET,BROKERAGE,BROKERAGE,CUSTOMCHOICE,IRA,214624058.66,78,Y,N,N,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-10-31,BLACKROCK Bond Fund INST,INST,International Equity Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,IRA,440742501.7,361,Y,Y,Y,FSC6963457,BlackRock,US Fund High Yield Bond,US Fund High Yield Bond
2025-01-31,INVESCO Allocation Fund S,S,Balanced Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,IRA,32597840.31,387,Y,Y,Y,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-02-28,VANGUARD Growth Fund C,C,Equity Fund,PCG,ADVISORY,ADVISORY,BROKERAGE,SEP,127591634.2,408,Y,N,N,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-12-31,INVESCO Bond Fund C,C,Balanced Fund,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,QP,420398076.06,140,Y,Y,Y,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-01-31,VANGUARD Bond Fund A,A,Alternative Fund,PCG,BROKERAGE,BROKERAGE,PIM,QP,17414018.62,424,Y,N,Y,FSC4693666,Vanguard,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-07-31,VANGUARD Bond Fund INST,INST,International Equity Fund,PCG,ADVISORY,ADVISORY,PIM,QP,326947926.87,250,Y,Y,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-03-31,T ROWE PRICE Blend Fund INST,INST,Balanced Fund,FINET,BROKERAGE,BROKERAGE,PIM,SIM,464959861.92,334,Y,Y,Y,FSINVVY2S9,T. Rowe Price,US Fund Large Blend,US Fund Large Blend
2025-11-30,NUVEEN Blend Fund A,A,Money Market Fund,WBS,BROKERAGE,BROKERAGE,FC/QC,SIM,302429609.39,450,Y,Y,Y,FSUSAGQ1Y8,Nuveen,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2026-02-28,VANGUARD Bond Fund INST,INST,International Equity Fund,WBS,BROKERAGE,BROKERAGE,FC/QC,IRA,234733139.74,151,Y,Y,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2026-03-31,CAPITAL GROUP Bond Fund INST,INST,Alternative Fund,WFAS,ADVISORY,ADVISORY,FC/QC,NON-RETIREMENT,304394718.52,229,N,Y,Y,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-03-31,DWS FUNDS Blend Fund INV,INV,Money Market Fund,WBS,BROKERAGE,BROKERAGE,BROKERAGE,NON-RETIREMENT,154255336.29,268,Y,N,Y,FSINVF3PFW,DWS,US Fund Large Blend,US Fund Large Blend
2025-10-31,INVESCO Allocation Fund S,S,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,FC/QC,SIM,325250932.57,64,Y,Y,N,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-02-28,MFS Blend Fund A,A,Equity Fund,PCG,BROKERAGE,BROKERAGE,PIM,SIM,475925164.11,106,Y,N,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-03-31,JPMORGAN Growth Fund INV,INV,Balanced Fund,PCG,BROKERAGE,BROKERAGE,FC/QC,IRA,393796.95,165,Y,Y,Y,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth
2025-07-31,JPMORGAN Allocation Fund INST,INST,Equity Fund,WBS,BROKERAGE,BROKERAGE,PIM,IRA,169772625.46,77,Y,Y,Y,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-06-30,PIMCO Allocation Fund A,A,Alternative Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,QP,136133942.02,471,Y,Y,N,FSC3796172,PIMCO,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-04-30,FIDELITY Blend Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,IRA,3364042.97,44,Y,N,Y,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend
2026-03-31,PIMCO Blend Fund A,A,Balanced Fund,FINET,BROKERAGE,BROKERAGE,ASSET ADVISOR,SEP,431066690.5,414,Y,N,Y,FSCAPPXIH2,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-05-31,CAPITAL GROUP Growth Fund A,A,Bond Fund,WFAS,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SIM,295890850.29,279,Y,N,Y,FSINVHRONH,capital group,US Fund Large Growth,US Fund Large Growth
2025-02-28,VANGUARD Growth Fund A,A,International Equity Fund,WBS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,46410129.95,252,Y,Y,Y,FSCAP3Y8BT,Vanguard,US Fund Large Growth,US Fund Large Growth
2025-02-28,VANGUARD Growth Fund C,C,Equity Fund,FINET,ADVISORY,ADVISORY,FC/QC,NON-RETIREMENT,430764608.16,84,N,Y,Y,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2026-01-31,BLACKROCK Blend Fund A,A,Alternative Fund,WFAS,BROKERAGE,BROKERAGE,PIM,SEP,251992197.89,232,N,N,N,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-07-31,CAPITAL GROUP Blend Fund A,A,International Equity Fund,FINET,ADVISORY,ADVISORY,CUSTOMCHOICE,NON-RETIREMENT,374505269.59,253,Y,Y,Y,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-03-31,FIDELITY Bond Fund INST,INST,Equity Fund,PCG,BROKERAGE,BROKERAGE,ASSET ADVISOR,SIM,485000126.87,348,Y,Y,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-04-30,FIRST EAGLE Blend Fund INST,INST,International Equity Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,QP,481093567.01,82,Y,Y,Y,FSCAP4FGYV,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-07-31,FIDELITY Blend Fund C,C,International Equity Fund,FINET,BROKERAGE,BROKERAGE,CUSTOMCHOICE,QP,273013680.04,254,Y,N,N,FSUSAVKKPF,Fidelity,US Fund Large Blend,US Fund Large Blend
2025-02-28,T ROWE PRICE Estate Fund S,S,Alternative Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SEP,103843217.3,351,Y,Y,N,FSINVOVNZB,T. Rowe Price,US Fund Real Estate,US Fund Real Estate
2025-06-30,T ROWE PRICE Blend Fund A,A,Alternative Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SIM,64240875.04,337,Y,Y,Y,FSUSA99GZA,T. Rowe Price,US Fund Small Blend,US Fund Small Blend
2025-05-31,T ROWE PRICE Bond Fund C,C,Equity Fund,PCG,BROKERAGE,BROKERAGE,ASSET ADVISOR,IRA,402644436.87,42,Y,Y,Y,FSINV5AYKJ,T. Rowe Price,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-07-31,JPMORGAN Allocation Fund INST,INST,Money Market Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,SEP,465790154.82,110,Y,N,N,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-01-31,CAPITAL GROUP Blend Fund A,A,Bond Fund,WFAS,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,443587644.9,403,Y,Y,Y,FSCAPVVD5U,capital group,US Fund Small Blend,US Fund Small Blend
2025-08-31,BLACKROCK Blend Fund A,A,Equity Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,SEP,113181992.99,155,Y,Y,Y,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-12-31,AMERICAN FUNDS Growth Fund A,A,Money Market Fund,WBS,ADVISORY,ADVISORY,ASSET ADVISOR,QP,261770289.68,48,Y,Y,Y,FSCAPBLFOC,capital group,US Fund Large Growth,US Fund Large Growth
2025-02-28,CAPITAL GROUP Blend Fund A,A,Money Market Fund,WBS,ADVISORY,ADVISORY,MASTERS,NON-RETIREMENT,228199445.67,471,Y,Y,N,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2026-02-28,CAPITAL GROUP Bond Fund INST,INST,Bond Fund,WFAS,ADVISORY,ADVISORY,ASSET ADVISOR,NON-RETIREMENT,83731194.71,118,Y,Y,Y,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-01-31,PIMCO Growth Fund A,A,Equity Fund,PCG,ADVISORY,ADVISORY,MASTERS,QP,109210733.38,203,Y,Y,Y,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-05-31,INVESCO Allocation Fund A,A,Money Market Fund,PCG,ADVISORY,ADVISORY,FC/QC,SIM,429821171.0,391,Y,Y,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-07-31,T ROWE PRICE Estate Fund S,S,International Equity Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,IRA,432734764.31,93,Y,Y,Y,FSINVOVNZB,T. Rowe Price,US Fund Real Estate,US Fund Real Estate
2026-02-28,CAPITAL GROUP Bond Fund INST,INST,International Equity Fund,WFAS,BROKERAGE,BROKERAGE,FC/QC,QP,82558267.63,285,Y,N,Y,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-12-31,PIMCO Blend Fund A,A,Bond Fund,WBS,BROKERAGE,BROKERAGE,BROKERAGE,SEP,360975172.64,185,Y,N,Y,FSCAPPXIH2,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-11-30,FIRST EAGLE Blend Fund C,C,Money Market Fund,WFAS,BROKERAGE,BROKERAGE,FC/QC,IRA,443727783.75,279,Y,Y,Y,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-11-30,DWS FUNDS Allocation Fund A,A,Balanced Fund,PCG,BROKERAGE,BROKERAGE,MASTERS,QP,439146811.81,288,Y,N,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-06-30,FIDELITY Blend Fund C,C,Bond Fund,WFAS,ADVISORY,ADVISORY,ASSET ADVISOR,IRA,436465442.37,384,Y,Y,Y,FSUSAVKKPF,Fidelity,US Fund Large Blend,US Fund Large Blend
2025-05-31,DWS FUNDS Bond Fund A,A,Bond Fund,FINET,ADVISORY,ADVISORY,FC/QC,SEP,312978240.77,271,Y,Y,Y,FSCAPZUVDG,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2025-06-30,CAPITAL GROUP Bond Fund INST,INST,International Equity Fund,FINET,BROKERAGE,BROKERAGE,PIM,QP,466028810.5,86,Y,Y,Y,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-03-31,JPMORGAN Value Fund S,S,Money Market Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,168260121.87,255,Y,Y,Y,FSUSAS5BKX,JPMorgan,US Fund Large Value,US Fund Large Value
2025-08-31,INVESCO Allocation Fund A,A,Balanced Fund,WBS,ADVISORY,ADVISORY,FC/QC,IRA,104348892.62,398,Y,Y,N,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-10-31,INVESCO Bond Fund C,C,International Equity Fund,FINET,ADVISORY,ADVISORY,BROKERAGE,QP,326195998.22,410,Y,Y,Y,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-04-30,CAPITAL GROUP Blend Fund A,A,Alternative Fund,FINET,ADVISORY,ADVISORY,PERSONALIZED UMA,SIM,57534995.98,444,Y,Y,Y,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-02-28,BLACKROCK Blend Fund A,A,Equity Fund,WBS,ADVISORY,ADVISORY,MASTERS,SEP,91755168.83,102,Y,Y,Y,FSINV1KDAD,BlackRock,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-05-31,INVESCO Bond Fund C,C,Equity Fund,FINET,BROKERAGE,BROKERAGE,BROKERAGE,QP,475382947.43,50,Y,Y,N,FSUSAFVJ1Z,Invesco,US Fund Short-Term Bond,US Fund Short-Term Bond
2026-02-28,DWS FUNDS Allocation Fund A,A,Balanced Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,SEP,490621401.69,247,Y,Y,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-10-31,VANGUARD Allocation Fund INV,INV,Alternative Fund,PCG,BROKERAGE,BROKERAGE,FUNDSOURCE,SIM,226072695.47,19,Y,Y,Y,FSUSAMIGJS,Vanguard,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-01-31,FIDELITY Bond Fund INST,INST,Balanced Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,28614566.79,261,Y,Y,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-03-31,FIRST EAGLE Estate Fund INST,INST,Money Market Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,SEP,180987850.53,350,Y,Y,Y,FSUSAS7SPG,First Eagle,US Fund Real Estate,US Fund Real Estate
2025-08-31,MFS Blend Fund A,A,Balanced Fund,PCG,ADVISORY,ADVISORY,MASTERS,QP,47982669.6,495,Y,Y,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-12-31,FIDELITY Bond Fund INST,INST,International Equity Fund,WBS,BROKERAGE,BROKERAGE,FC/QC,QP,170198840.37,261,Y,Y,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-07-31,INVESCO Allocation Fund S,S,International Equity Fund,PCG,BROKERAGE,BROKERAGE,PIM,QP,237167657.38,483,Y,Y,N,FSINV12SDD,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-05-31,DWS FUNDS Bond Fund INST,INST,Bond Fund,WFAS,BROKERAGE,BROKERAGE,FC/QC,SEP,135807372.94,255,Y,Y,Y,FSCAPNRENH,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2026-02-28,VANGUARD Bond Fund INST,INST,Balanced Fund,WBS,ADVISORY,ADVISORY,FC/QC,SEP,367689175.09,266,Y,N,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2026-02-28,PIMCO Blend Fund A,A,Money Market Fund,PCG,ADVISORY,ADVISORY,ASSET ADVISOR,SEP,176823932.31,322,Y,Y,N,FSCAPPXIH2,PIMCO,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2026-02-28,DWS FUNDS Allocation Fund A,A,Alternative Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,11807772.87,187,Y,Y,Y,FSCAPPGOXS,DWS,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-09-30,VANGUARD Growth Fund A,A,Alternative Fund,FINET,BROKERAGE,BROKERAGE,FC/QC,SEP,439253557.62,329,Y,Y,Y,FSCAP853QJ,Vanguard,US Fund Large Growth,US Fund Large Growth
2026-01-31,PIMCO Growth Fund A,A,Equity Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,QP,3695325.12,118,Y,Y,Y,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-10-31,FRANKLIN TEMPLETON Bond Fund INST,INST,Equity Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SIM,300437766.59,156,N,Y,Y,FSINVCNRVP,Franklin Templeton,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2026-01-31,JPMORGAN Growth Fund INV,INV,Money Market Fund,WBS,BROKERAGE,BROKERAGE,FUNDSOURCE,IRA,483796782.04,449,Y,Y,Y,FSINVVT0VG,JPMorgan,US Fund Large Growth,US Fund Large Growth
2025-04-30,DWS FUNDS Blend Fund INV,INV,Balanced Fund,WFAS,ADVISORY,ADVISORY,BROKERAGE,SEP,51724715.33,411,Y,Y,Y,FSINVF3PFW,DWS,US Fund Large Blend,US Fund Large Blend
2026-02-28,PIMCO Allocation Fund A,A,Money Market Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,445431784.7,474,Y,Y,Y,FSC3796172,PIMCO,US Fund Moderate Allocation,US Fund Moderate Allocation
2026-02-28,VANGUARD Bond Fund INST,INST,Bond Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,SIM,98323178.78,402,Y,Y,Y,FSC4848373,Vanguard,US Fund High Yield Bond,US Fund High Yield Bond
2025-03-31,JPMORGAN Allocation Fund INST,INST,International Equity Fund,FINET,BROKERAGE,BROKERAGE,MASTERS,IRA,26733488.96,46,Y,Y,Y,FSCAPZ4DKB,JPMorgan,US Fund Tactical Allocation,US Fund Tactical Allocation
2026-01-31,CAPITAL GROUP Bond Fund INST,INST,International Equity Fund,FINET,ADVISORY,ADVISORY,PIM,IRA,195900493.21,266,Y,N,Y,FSINV6Z5AS,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-04-30,INVESCO Bond Fund A,A,Equity Fund,WFAS,ADVISORY,ADVISORY,FC/QC,IRA,131829694.79,111,Y,Y,Y,FSC9366170,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-12-31,BLACKROCK Value Fund C,C,Bond Fund,WBS,BROKERAGE,BROKERAGE,PIM,IRA,472921251.4,467,Y,N,Y,FSINVW6LMH,BlackRock,US Fund Large Value,US Fund Large Value
2025-07-31,FIDELITY Bond Fund INST,INST,Equity Fund,FINET,ADVISORY,ADVISORY,FC/QC,QP,235212076.05,222,Y,Y,Y,FSINVQUXZJ,Fidelity,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-11-30,AMERICAN FUNDS Growth Fund A,A,International Equity Fund,WFAS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,441528951.55,205,Y,N,Y,FSCAPBLFOC,capital group,US Fund Large Growth,US Fund Large Growth
2025-04-30,CAPITAL GROUP Blend Fund A,A,International Equity Fund,PCG,ADVISORY,ADVISORY,MASTERS,IRA,349956362.85,495,Y,N,Y,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-08-31,JPMORGAN Allocation Fund A,A,International Equity Fund,WFAS,ADVISORY,ADVISORY,BROKERAGE,SIM,289410872.72,389,Y,N,Y,FSUSAD1XUN,JPMorgan,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-02-28,MFS Blend Fund C,C,Balanced Fund,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,SIM,17954521.14,233,Y,N,Y,FSC8686926,MFS,US Fund Small Blend,US Fund Small Blend
2025-08-31,CAPITAL GROUP Growth Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,BROKERAGE,NON-RETIREMENT,127189889.79,431,Y,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2025-11-30,JPMORGAN Bond Fund A,A,Balanced Fund,FINET,ADVISORY,ADVISORY,MASTERS,QP,64691639.94,95,Y,Y,Y,FSCAP0TE0V,JPMorgan,US Fund Multisector Bond,US Fund Multisector Bond
2025-09-30,T ROWE PRICE Estate Fund S,S,Alternative Fund,WBS,BROKERAGE,BROKERAGE,FC/QC,SEP,122889961.01,486,Y,Y,Y,FSINVOVNZB,T. Rowe Price,US Fund Real Estate,US Fund Real Estate
2025-09-30,FIDELITY Blend Fund A,A,Balanced Fund,WFAS,BROKERAGE,BROKERAGE,BROKERAGE,QP,281006018.9,294,Y,N,Y,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend
2025-04-30,MFS Blend Fund A,A,Equity Fund,WFAS,BROKERAGE,BROKERAGE,PERSONALIZED UMA,SEP,217885109.51,433,Y,Y,Y,FSCAPUR81B,MFS,US Fund Small Blend,US Fund Small Blend
2026-01-31,FIDELITY Blend Fund A,A,Bond Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,IRA,449471509.57,311,Y,Y,Y,FSUSA4BHGL,Fidelity,US Fund Small Blend,US Fund Small Blend
2025-04-30,JPMORGAN Value Fund S,S,Bond Fund,FINET,ADVISORY,ADVISORY,FUNDSOURCE,SEP,424850599.63,205,Y,N,N,FSUSAS5BKX,JPMorgan,US Fund Large Value,US Fund Large Value
2025-08-31,MFS Blend Fund A,A,Balanced Fund,WBS,ADVISORY,ADVISORY,MASTERS,IRA,402165065.26,350,Y,N,Y,FSCAPUR81B,MFS,US Fund Small Blend,US Fund Small Blend
2026-02-28,PIMCO Blend Fund A,A,Bond Fund,FINET,BROKERAGE,BROKERAGE,ASSET ADVISOR,QP,488197277.41,168,Y,Y,Y,FSINVNDQ6K,PIMCO,US Fund Small Blend,US Fund Small Blend
2025-03-31,NUVEEN Estate Fund A,A,Alternative Fund,FINET,BROKERAGE,BROKERAGE,FC/QC,QP,63201271.77,466,Y,Y,Y,FSCAP9SFEF,Nuveen,US Fund Real Estate,US Fund Real Estate
2025-10-31,LORD ABBETT Blend Fund INST,INST,Balanced Fund,WFAS,ADVISORY,ADVISORY,MASTERS,QP,143978094.89,230,Y,Y,Y,FSINVDZ4HR,Lord Abbett,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2025-10-31,MFS Blend Fund A,A,International Equity Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,SEP,415522298.31,169,Y,Y,Y,FSCAPO8FAQ,MFS,US Fund Mid-Cap Blend,US Fund Mid-Cap Blend
2025-06-30,PIMCO Bond Fund S,S,Money Market Fund,WBS,BROKERAGE,BROKERAGE,CUSTOMCHOICE,NON-RETIREMENT,382356143.78,446,Y,N,N,FSCAP7M9HW,PIMCO,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-06-30,DWS FUNDS Bond Fund INST,INST,Balanced Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SEP,182596593.09,240,Y,N,Y,FSCAPNRENH,DWS,US Fund High Yield Bond,US Fund High Yield Bond
2025-06-30,T ROWE PRICE Bond Fund C,C,Bond Fund,WBS,BROKERAGE,BROKERAGE,BROKERAGE,QP,62010552.51,217,Y,N,Y,FSINV5AYKJ,T. Rowe Price,US Fund Short-Term Bond,US Fund Short-Term Bond
2025-05-31,CAPITAL GROUP Growth Fund A,A,Equity Fund,WBS,BROKERAGE,BROKERAGE,PIM,IRA,412287356.19,391,Y,Y,Y,FSINV8R1QP,capital group,US Fund Small Growth,US Fund Small Growth
2026-03-31,FIRST EAGLE Growth Fund INST,INST,Equity Fund,PCG,BROKERAGE,BROKERAGE,CUSTOMCHOICE,SEP,144089014.36,365,Y,Y,Y,FSUSAUK54B,First Eagle,US Fund Small Growth,US Fund Small Growth
2026-03-31,PIMCO Growth Fund A,A,Balanced Fund,WBS,BROKERAGE,BROKERAGE,PIM,SEP,300687124.94,410,Y,Y,N,FSCAPS2MJ6,PIMCO,US Fund Small Growth,US Fund Small Growth
2025-09-30,MFS Bond Fund C,C,Alternative Fund,PCG,ADVISORY,ADVISORY,CUSTOMCHOICE,NON-RETIREMENT,223346019.37,398,Y,Y,N,FSUSAR848N,MFS,US Fund Multisector Bond,US Fund Multisector Bond
2026-03-31,INVESCO Allocation Fund A,A,Bond Fund,PCG,ADVISORY,ADVISORY,PIM,SEP,439698020.33,61,Y,Y,Y,FSC8043975,Invesco,US Fund Tactical Allocation,US Fund Tactical Allocation
2025-12-31,BLACKROCK Allocation Fund INST,INST,Money Market Fund,WFAS,ADVISORY,ADVISORY,PERSONALIZED UMA,QP,19316813.16,253,Y,Y,Y,FSCAPJJ3ZW,BlackRock,US Fund Moderate Allocation,US Fund Moderate Allocation
2025-10-31,MFS Blend Fund C,C,Balanced Fund,WBS,BROKERAGE,BROKERAGE,FC/QC,SIM,448199275.58,473,Y,N,Y,FSC8686926,MFS,US Fund Small Blend,US Fund Small Blend
2025-04-30,CAPITAL GROUP Blend Fund A,A,Money Market Fund,PCG,BROKERAGE,BROKERAGE,PERSONALIZED UMA,IRA,77061305.34,187,Y,Y,Y,FSUSAYANEZ,capital group,US Fund Foreign Large Blend,US Fund Foreign Large Blend
2026-01-31,FIRST EAGLE Blend Fund C,C,International Equity Fund,WBS,ADVISORY,ADVISORY,BROKERAGE,SIM,150597863.85,401,Y,N,Y,FSC7422675,First Eagle,US Fund Small Blend,US Fund Small Blend
2025-11-30,PIMCO Blend Fund A,A,Equity Fund,PCG,ADVISORY,ADVISORY,MASTERS,SEP,474220384.65,356,Y,Y,Y,FSINVNDQ6K,PIMCO,US Fund Small Blend,US Fund Small Blend
2025-01-31,DWS FUNDS Bond Fund A,A,Balanced Fund,WFAS,ADVISORY,ADVISORY,FUNDSOURCE,SEP,176628443.09,319,N,N,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2026-01-31,FIDELITY Blend Fund C,C,International Equity Fund,PCG,ADVISORY,ADVISORY,FUNDSOURCE,NON-RETIREMENT,186537243.75,497,Y,Y,N,FSUSAVKKPF,Fidelity,US Fund Large Blend,US Fund Large Blend
2025-07-31,INVESCO Bond Fund A,A,International Equity Fund,WBS,ADVISORY,ADVISORY,PIM,IRA,150796028.97,412,Y,Y,Y,FSCAPRK315,Invesco,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-05-31,DWS FUNDS Bond Fund A,A,Balanced Fund,WBS,ADVISORY,ADVISORY,PIM,SIM,279599753.16,393,Y,Y,Y,FSUSA4DZT8,DWS,US Fund Multisector Bond,US Fund Multisector Bond
2025-04-30,CAPITAL GROUP Bond Fund INST,INST,Equity Fund,WBS,ADVISORY,ADVISORY,FUNDSOURCE,IRA,334131418.27,216,Y,Y,N,FSCAPU9MJ4,capital group,US Fund Intermediate Core Bond,US Fund Intermediate Core Bond
2025-09-30,VANGUARD Growth Fund C,C,Equity Fund,FINET,ADVISORY,ADVISORY,ASSET ADVISOR,IRA,184308489.78,405,Y,Y,Y,FSCAP2IIZJ,Vanguard,US Fund Large Growth,US Fund Large Growth
